airline,date_of_journey,source,destination,dep_time,arrival_time,duration,total_stops,additional_info,price
Multiple Carriers,2019-05-01,Delhi,Cochin,09:00:00,19:15:00,615,1,No Info,15373
Jet Airways,2019-06-06,Delhi,Cochin,19:45:00,04:25:00,520,1,No Info,14714
Multiple Carriers,2019-06-24,Delhi,Cochin,13:00:00,21:00:00,480,1,No Info,13587
Spicejet,2019-05-15,Banglore,Delhi,05:55:00,08:35:00,160,0,No check-in baggage included,3257
Indigo,2019-03-21,Delhi,Cochin,02:05:00,07:25:00,320,1,No Info,4862
Multiple Carriers,2019-05-18,Delhi,Cochin,13:00:00,01:30:00,750,1,No Info,9385
Air India,2019-03-06,Delhi,Cochin,06:10:00,08:15:00,1565,1,No Info,11038
Indigo,2019-05-18,Kolkata,Banglore,19:20:00,23:45:00,265,1,No Info,3717
Spicejet,2019-03-24,Kolkata,Banglore,09:00:00,11:30:00,150,0,No check-in baggage included,5201
Jet Airways,2019-05-09,Kolkata,Banglore,09:35:00,09:45:00,1450,1,No Info,12121
Multiple Carriers,2019-06-09,Delhi,Cochin,10:20:00,19:00:00,520,1,No Info,11789
Air Asia,2019-03-18,Kolkata,Banglore,19:35:00,22:05:00,150,0,No Info,4384
Jet Airways,2019-03-27,Delhi,Cochin,16:00:00,04:25:00,745,1,No Info,12242
Indigo,2019-05-12,Kolkata,Banglore,15:15:00,20:05:00,290,1,No Info,5170
Multiple Carriers,2019-06-27,Delhi,Cochin,12:50:00,21:00:00,490,1,In-flight meal not included,6007
Jet Airways,2019-03-01,Banglore,Delhi,08:00:00,20:20:00,740,1,No Info,27992
Air Asia,2019-03-01,Kolkata,Banglore,10:20:00,12:55:00,155,0,No Info,5620
Air Asia,2019-05-24,Kolkata,Banglore,10:20:00,12:55:00,155,0,No Info,4409
Indigo,2019-05-09,Banglore,Delhi,08:30:00,11:20:00,170,0,No Info,4823
Jet Airways,2019-05-27,Banglore,Delhi,08:20:00,11:20:00,180,0,In-flight meal not included,4030
Air India,2019-03-12,Banglore,Delhi,08:50:00,23:15:00,865,1,No Info,12127
Jet Airways,2019-05-18,Delhi,Cochin,09:40:00,12:35:00,1615,2,In-flight meal not included,13029
Jet Airways,2019-05-09,Delhi,Cochin,05:30:00,19:00:00,810,2,In-flight meal not included,13029
Goair,2019-06-03,Banglore,Delhi,20:55:00,23:40:00,165,0,No Info,3419
Multiple Carriers,2019-06-06,Delhi,Cochin,10:00:00,21:00:00,660,1,No Info,7933
Jet Airways,2019-06-06,Banglore,Delhi,17:45:00,20:45:00,180,0,No Info,8016
Jet Airways,2019-06-06,Kolkata,Banglore,20:25:00,18:00:00,1295,1,No Info,12692
Indigo,2019-03-21,Delhi,Cochin,04:45:00,21:00:00,975,1,No Info,6314
Goair,2019-05-15,Banglore,Delhi,11:40:00,14:30:00,170,0,No Info,3398
Air India,2019-03-09,Delhi,Cochin,20:00:00,19:15:00,1395,2,No Info,16111
Jet Airways,2019-06-03,Banglore,Delhi,17:45:00,20:45:00,180,0,In-flight meal not included,6478
Jet Airways,2019-03-06,Banglore,Delhi,07:00:00,19:10:00,730,1,No Info,16736
Jet Airways,2019-03-09,Delhi,Cochin,20:50:00,18:50:00,1320,1,No Info,16289
Jet Airways,2019-05-09,Kolkata,Banglore,20:25:00,09:45:00,800,1,In-flight meal not included,10703
Air India,2019-05-18,Kolkata,Banglore,05:50:00,20:25:00,875,2,No Info,12093
Vistara,2019-05-01,Chennai,Kolkata,17:45:00,20:05:00,140,0,No Info,11982
Indigo,2019-03-03,Chennai,Kolkata,05:15:00,07:35:00,140,0,No Info,6482
Jet Airways,2019-03-27,Mumbai,Hyderabad,02:55:00,04:25:00,90,0,In-flight meal not included,1840
Vistara,2019-06-12,Chennai,Kolkata,07:05:00,09:20:00,135,0,No Info,3687
Multiple Carriers,2019-06-27,Delhi,Cochin,07:10:00,16:10:00,540,1,In-flight meal not included,6093
Air India,2019-05-03,Banglore,Delhi,13:20:00,16:10:00,170,0,No Info,6121
Jet Airways,2019-05-21,Kolkata,Banglore,08:25:00,16:20:00,475,1,No Info,14781
Air India,2019-04-21,Delhi,Cochin,14:10:00,17:10:00,180,0,No Info,6934
Multiple Carriers,2019-03-06,Delhi,Cochin,17:45:00,01:35:00,470,1,No Info,15147
Indigo,2019-03-09,Kolkata,Banglore,09:35:00,12:20:00,165,0,No Info,4148
Jet Airways,2019-06-06,Kolkata,Banglore,09:35:00,19:10:00,575,1,In-flight meal not included,13469
Multiple Carriers,2019-05-09,Delhi,Cochin,06:00:00,21:00:00,900,1,No Info,7670
Air India,2019-05-09,Delhi,Cochin,12:55:00,19:15:00,1820,2,No Info,11596
Jet Airways,2019-05-18,Delhi,Cochin,18:15:00,12:35:00,1100,1,In-flight meal not included,12373
Air Asia,2019-06-06,Kolkata,Banglore,07:35:00,19:25:00,710,1,No Info,6810
Multiple Carriers,2019-05-27,Delhi,Cochin,07:10:00,22:30:00,920,1,No Info,7878
Vistara,2019-03-03,Banglore,Delhi,21:10:00,00:05:00,175,0,No Info,7608
Jet Airways,2019-03-21,Banglore,Delhi,16:55:00,10:25:00,1050,1,In-flight meal not included,7832
Jet Airways,2019-05-06,Banglore,Delhi,08:20:00,11:20:00,180,0,In-flight meal not included,4544
Indigo,2019-05-18,Kolkata,Banglore,14:25:00,16:55:00,150,0,No Info,5224
Jet Airways,2019-04-15,Banglore,Delhi,18:55:00,22:00:00,185,0,In-flight meal not included,4544
Vistara,2019-06-15,Chennai,Kolkata,07:05:00,09:20:00,135,0,No Info,3687
Indigo,2019-03-09,Delhi,Cochin,05:35:00,08:50:00,195,0,No Info,6885
Goair,2019-05-12,Banglore,Delhi,07:45:00,10:40:00,175,0,No Info,3898
Air India,2019-03-15,Banglore,Delhi,13:50:00,22:10:00,500,1,No Info,9166
Indigo,2019-03-09,Delhi,Cochin,02:05:00,07:10:00,305,1,No Info,10482
Multiple Carriers,2019-05-27,Delhi,Cochin,12:50:00,01:30:00,760,1,No Info,6795
Jet Airways,2019-05-18,Delhi,Cochin,11:00:00,14:15:00,195,0,No Info,9564
Spicejet,2019-06-18,Chennai,Kolkata,17:45:00,20:05:00,140,0,No Info,3597
Goair,2019-04-03,Banglore,Delhi,07:45:00,10:40:00,175,0,No Info,4239
Jet Airways,2019-03-01,Banglore,Delhi,22:50:00,07:40:00,530,1,No Info,26890
Jet Airways,2019-06-09,Kolkata,Banglore,21:10:00,23:35:00,1585,1,In-flight meal not included,10844
Indigo,2019-05-27,Delhi,Cochin,06:50:00,22:30:00,940,1,No Info,6674
Multiple Carriers,2019-06-12,Delhi,Cochin,10:00:00,19:15:00,555,1,No Info,14848
Indigo,2019-05-01,Banglore,Delhi,04:00:00,06:50:00,170,0,No Info,3943
Jet Airways,2019-05-06,Kolkata,Banglore,20:00:00,08:15:00,735,1,No Info,14388
Jet Airways,2019-03-12,Banglore,Delhi,22:55:00,07:40:00,525,1,In-flight meal not included,11087
Air India,2019-05-15,Kolkata,Banglore,17:30:00,20:25:00,1615,1,No Info,10203
Air India,2019-06-27,Delhi,Cochin,13:00:00,19:15:00,375,1,No Info,8372
Spicejet,2019-06-06,Mumbai,Hyderabad,22:45:00,00:15:00,90,0,No check-in baggage included,1965
Air India,2019-06-27,Delhi,Cochin,14:10:00,17:10:00,180,0,No Info,5201
Jet Airways,2019-03-24,Kolkata,Banglore,21:10:00,23:25:00,1575,1,No Info,13759
Multiple Carriers,2019-03-27,Delhi,Cochin,04:45:00,19:15:00,870,1,No Info,7574
Indigo,2019-03-03,Delhi,Cochin,07:30:00,13:20:00,350,1,No Info,13628
Air India,2019-03-18,Banglore,Delhi,10:30:00,17:45:00,435,2,No Info,13261
Air India,2019-05-01,Kolkata,Banglore,09:25:00,07:55:00,1350,1,No Info,8366
Jet Airways,2019-05-21,Delhi,Cochin,10:00:00,04:25:00,1105,1,In-flight meal not included,12898
Multiple Carriers,2019-06-01,Delhi,Cochin,04:55:00,19:00:00,845,1,No Info,11098
Jet Airways,2019-03-06,Banglore,Delhi,08:55:00,09:30:00,1475,1,No Info,17261
Multiple Carriers,2019-06-09,Delhi,Cochin,13:00:00,21:00:00,480,1,No Info,7408
Jet Airways,2019-06-01,Delhi,Cochin,09:00:00,04:25:00,1165,1,In-flight meal not included,10262
Jet Airways,2019-06-09,Kolkata,Banglore,20:00:00,08:15:00,735,1,No Info,14939
Jet Airways,2019-03-06,Delhi,Cochin,07:05:00,04:25:00,1280,1,No Info,17234
Multiple Carriers,2019-06-27,Delhi,Cochin,08:00:00,21:00:00,780,1,No Info,7408
Jet Airways,2019-06-09,Delhi,Cochin,22:50:00,04:25:00,335,1,In-flight meal not included,10262
Air India,2019-05-27,Kolkata,Banglore,20:45:00,23:20:00,155,0,No Info,4145
Multiple Carriers,2019-06-12,Delhi,Cochin,15:15:00,01:30:00,615,1,No Info,6795
Indigo,2019-05-15,Delhi,Cochin,16:00:00,21:00:00,300,1,No Info,6069
Indigo,2019-05-21,Banglore,Delhi,07:10:00,10:05:00,175,0,No Info,4823
Jet Airways,2019-06-09,Banglore,Delhi,18:55:00,22:00:00,185,0,No Info,8016
Air India,2019-06-24,Delhi,Cochin,05:15:00,07:40:00,1585,3,No Info,10493
Goair,2019-04-27,Banglore,Delhi,07:45:00,10:40:00,175,0,No Info,5048
Spicejet,2019-05-15,Mumbai,Hyderabad,13:15:00,14:45:00,90,0,No check-in baggage included,2175
Multiple Carriers,2019-05-15,Delhi,Cochin,10:00:00,19:00:00,540,1,No Info,10197
Jet Airways,2019-05-06,Kolkata,Banglore,08:25:00,19:50:00,685,1,No Info,14781
Multiple Carriers,2019-03-27,Delhi,Cochin,04:00:00,13:20:00,560,1,No Info,6305
Jet Airways,2019-05-01,Kolkata,Banglore,20:25:00,09:45:00,800,1,No Info,11467
Indigo,2019-06-15,Banglore,Delhi,08:30:00,11:20:00,170,0,No Info,4823
Multiple Carriers,2019-03-06,Delhi,Cochin,19:00:00,01:35:00,395,1,No Info,15147
Air India,2019-05-21,Kolkata,Banglore,08:20:00,07:55:00,1415,2,No Info,11222
Air India,2019-03-01,Banglore,Delhi,09:30:00,23:45:00,855,1,No Info,12704
Jet Airways,2019-03-06,Banglore,Delhi,22:50:00,05:05:00,375,1,No Info,19225
Jet Airways,2019-04-06,Banglore,Delhi,08:20:00,11:20:00,180,0,No Info,7229
Indigo,2019-03-06,Chennai,Kolkata,22:05:00,00:25:00,140,0,No Info,5277
Multiple Carriers,2019-05-09,Delhi,Cochin,07:30:00,19:00:00,690,1,No Info,9794
Air India,2019-03-15,Kolkata,Banglore,14:15:00,16:45:00,150,0,No Info,5170
Jet Airways,2019-03-21,Mumbai,Hyderabad,19:35:00,21:05:00,90,0,In-flight meal not included,2228
Indigo,2019-06-24,Banglore,Delhi,10:10:00,13:00:00,170,0,No Info,3943
Air India,2019-05-18,Kolkata,Banglore,10:00:00,01:20:00,920,2,No Info,13243
Air Asia,2019-05-03,Kolkata,Banglore,19:55:00,22:25:00,150,0,No Info,5989
Air India,2019-06-09,Delhi,Cochin,07:05:00,09:25:00,1580,2,No Info,11185
Indigo,2019-06-21,Kolkata,Banglore,20:20:00,22:55:00,155,0,No Info,4804
Air India,2019-05-09,Delhi,Cochin,22:00:00,19:15:00,1275,2,No Info,10441
Indigo,2019-06-18,Banglore,Delhi,23:30:00,02:20:00,170,0,No Info,3943
Jet Airways,2019-06-01,Delhi,Cochin,21:50:00,04:25:00,395,1,In-flight meal not included,10262
Jet Airways,2019-05-18,Kolkata,Banglore,14:05:00,10:05:00,1200,1,In-flight meal not included,9663
Indigo,2019-06-12,Delhi,Cochin,21:50:00,03:35:00,345,1,No Info,5775
Multiple Carriers,2019-06-12,Delhi,Cochin,03:50:00,12:35:00,525,1,No Info,12192
Jet Airways,2019-06-12,Delhi,Cochin,19:45:00,19:00:00,1395,1,In-flight meal not included,10262
Goair,2019-06-12,Banglore,Delhi,07:45:00,10:40:00,175,0,No Info,3419
Multiple Carriers,2019-06-09,Delhi,Cochin,09:00:00,21:00:00,720,1,No Info,7408
Jet Airways,2019-03-03,Delhi,Cochin,18:20:00,04:25:00,2045,2,No Info,20747
Jet Airways,2019-05-21,Kolkata,Banglore,18:55:00,19:50:00,1495,1,In-flight meal not included,10844
Air India,2019-04-01,Delhi,Cochin,09:45:00,09:25:00,1420,1,No Info,5117
Spicejet,2019-03-21,Kolkata,Banglore,09:00:00,11:30:00,150,0,No Info,4148
Air India,2019-03-01,Banglore,Delhi,10:30:00,21:25:00,655,2,No Info,11213
Indigo,2019-03-09,Kolkata,Banglore,15:10:00,17:45:00,155,0,No Info,4462
Indigo,2019-05-24,Chennai,Kolkata,14:45:00,17:05:00,140,0,No Info,3858
Air India,2019-03-03,Delhi,Cochin,06:10:00,08:15:00,1565,1,No Info,13348
Jet Airways,2019-04-18,Delhi,Cochin,11:00:00,14:15:00,195,0,In-flight meal not included,5443
Indigo,2019-04-03,Banglore,Delhi,07:10:00,10:05:00,175,0,No Info,4823
Vistara,2019-05-01,Kolkata,Banglore,20:20:00,23:25:00,1625,1,No Info,8085
Jet Airways,2019-05-15,Kolkata,Banglore,20:00:00,04:40:00,520,1,In-flight meal not included,8586
Jet Airways,2019-05-24,Kolkata,Banglore,06:30:00,09:20:00,1610,1,No Info,14178
Jet Airways,2019-05-21,Delhi,Cochin,11:30:00,19:00:00,450,1,In-flight meal not included,12898
Indigo,2019-06-03,Delhi,Cochin,14:20:00,22:30:00,490,1,No Info,6938
Vistara,2019-05-03,Banglore,Delhi,07:00:00,09:40:00,160,0,No Info,4668
Air India,2019-04-03,Delhi,Cochin,14:10:00,17:10:00,180,0,No Info,4729
Jet Airways,2019-06-09,Kolkata,Banglore,21:10:00,12:00:00,890,1,No Info,14571
Jet Airways,2019-06-12,Delhi,Cochin,20:55:00,04:25:00,450,1,In-flight meal not included,10262
Jet Airways,2019-05-15,Kolkata,Banglore,16:30:00,04:40:00,730,1,No Info,14781
Jet Airways,2019-03-12,Banglore,Delhi,08:55:00,10:25:00,1530,1,In-flight meal not included,11087
Indigo,2019-05-27,Delhi,Cochin,07:35:00,22:30:00,895,1,No Info,7514
Jet Airways,2019-06-03,Mumbai,Hyderabad,02:55:00,04:20:00,85,0,In-flight meal not included,4050
Jet Airways,2019-05-21,Kolkata,Banglore,06:30:00,09:20:00,1610,1,No Info,14388
Jet Airways,2019-06-06,Kolkata,Banglore,20:25:00,23:35:00,1630,1,No Info,14151
Jet Airways,2019-06-06,Delhi,Cochin,11:45:00,04:25:00,1000,2,No Info,13882
Jet Airways,2019-03-21,Delhi,Cochin,05:30:00,18:50:00,2240,2,In-flight meal not included,9328
Jet Airways,2019-06-24,Delhi,Cochin,19:30:00,12:35:00,1025,2,In-flight meal not included,10368
Jet Airways,2019-06-09,Delhi,Cochin,02:15:00,19:00:00,1005,1,In-flight meal not included,10262
Vistara,2019-04-01,Kolkata,Banglore,17:00:00,22:55:00,355,1,No Info,8977
Indigo,2019-05-27,Banglore,Delhi,16:55:00,19:55:00,180,0,No Info,4823
Air India,2019-03-03,Banglore,Delhi,13:20:00,16:10:00,170,0,No Info,10216
Jet Airways,2019-05-27,Delhi,Cochin,08:00:00,04:25:00,1225,1,In-flight meal not included,12898
Multiple Carriers,2019-06-15,Delhi,Cochin,04:55:00,12:35:00,460,1,No Info,10678
Indigo,2019-04-12,Banglore,Delhi,04:00:00,06:50:00,170,0,No Info,4423
Multiple Carriers,2019-03-03,Delhi,Cochin,10:00:00,01:35:00,935,1,No Info,16863
Indigo,2019-03-03,Banglore,Delhi,07:30:00,12:20:00,290,1,No Info,6220
Jet Airways,2019-05-09,Kolkata,Banglore,14:05:00,19:50:00,345,1,No Info,14781
Jet Airways,2019-03-24,Kolkata,Banglore,13:55:00,20:40:00,405,1,In-flight meal not included,11134
Air India,2019-03-03,Banglore,Delhi,12:00:00,10:35:00,1355,3,No Info,12358
Jet Airways,2019-03-01,Banglore,Delhi,11:40:00,21:20:00,580,1,1 Long layover,27992
Air India,2019-05-21,Kolkata,Banglore,07:00:00,20:25:00,805,1,No Info,11096
Spicejet,2019-04-01,Delhi,Cochin,08:45:00,13:15:00,270,1,No Info,4812
Indigo,2019-06-24,Chennai,Kolkata,19:35:00,21:55:00,140,0,No Info,3597
Air India,2019-05-15,Delhi,Cochin,10:00:00,19:15:00,555,1,No Info,8372
Indigo,2019-03-24,Banglore,Delhi,21:20:00,00:15:00,175,0,No Info,5694
Multiple Carriers,2019-06-12,Delhi,Cochin,06:00:00,19:00:00,780,1,No Info,11789
Indigo,2019-05-12,Banglore,Delhi,16:55:00,19:55:00,180,0,No Info,4823
Air India,2019-05-15,Delhi,Cochin,06:50:00,07:40:00,1490,2,No Info,14431
Jet Airways,2019-05-09,Delhi,Cochin,22:50:00,19:00:00,1210,1,In-flight meal not included,12373
Jet Airways,2019-06-03,Delhi,Cochin,18:15:00,19:00:00,1485,1,In-flight meal not included,10262
Jet Airways,2019-05-15,Kolkata,Banglore,21:10:00,09:20:00,730,1,In-flight meal not included,9663
Air India,2019-05-09,Kolkata,Banglore,19:00:00,11:05:00,965,1,No Info,6117
Indigo,2019-05-15,Delhi,Cochin,15:00:00,01:30:00,630,1,No Info,7191
Jet Airways,2019-03-15,Banglore,Delhi,09:45:00,14:25:00,280,1,In-flight meal not included,6136
Indigo,2019-05-09,Delhi,Cochin,14:20:00,22:30:00,490,1,No Info,6704
Multiple Carriers,2019-06-06,Delhi,Cochin,13:00:00,01:30:00,750,1,No Info,7198
Multiple Carriers,2019-06-06,Delhi,Cochin,10:35:00,19:15:00,520,1,No Info,7354
Air India,2019-06-27,Banglore,Delhi,10:00:00,12:45:00,165,0,No Info,6961
Air India,2019-06-01,Delhi,Cochin,05:10:00,08:00:00,170,0,No Info,6094
Multiple Carriers,2019-05-09,Delhi,Cochin,10:00:00,19:00:00,540,1,No Info,10197
Multiple Carriers,2019-06-12,Delhi,Cochin,09:15:00,19:00:00,585,1,No Info,11622
Jet Airways,2019-06-27,Delhi,Cochin,14:35:00,12:35:00,1320,2,No Info,13376
Jet Airways,2019-03-27,Delhi,Cochin,16:00:00,19:45:00,1665,1,No Info,12032
Vistara,2019-03-18,Banglore,Delhi,16:00:00,18:35:00,155,0,No Info,11913
Jet Airways,2019-06-03,Mumbai,Hyderabad,10:20:00,11:50:00,90,0,In-flight meal not included,4995
Jet Airways,2019-03-06,Banglore,Delhi,21:25:00,20:20:00,1375,1,No Info,17471
Indigo,2019-04-01,Mumbai,Hyderabad,19:05:00,20:35:00,90,0,No Info,2754
Vistara,2019-04-01,Kolkata,Banglore,20:20:00,10:45:00,865,1,No Info,8505
Spicejet,2019-03-18,Mumbai,Hyderabad,13:10:00,14:30:00,80,0,No Info,2437
Jet Airways,2019-03-09,Delhi,Cochin,16:00:00,18:50:00,1610,1,No Info,16289
Multiple Carriers,2019-03-03,Delhi,Cochin,11:30:00,18:50:00,440,1,No Info,15135
Air India,2019-05-18,Delhi,Cochin,14:10:00,17:10:00,180,0,No Info,6934
Indigo,2019-03-24,Mumbai,Hyderabad,16:55:00,18:25:00,90,0,No Info,3175
Air India,2019-03-15,Banglore,Delhi,13:20:00,16:10:00,170,0,No Info,7276
Multiple Carriers,2019-06-27,Delhi,Cochin,13:00:00,01:30:00,750,1,No Info,13377
Jet Airways,2019-06-06,Kolkata,Banglore,20:00:00,22:35:00,1595,1,In-flight meal not included,10844
Jet Airways,2019-06-06,Delhi,Cochin,05:30:00,19:00:00,810,2,No Info,13292
Multiple Carriers,2019-06-24,Delhi,Cochin,09:15:00,19:15:00,600,1,No Info,8099
Indigo,2019-06-24,Delhi,Cochin,14:20:00,17:35:00,195,0,No Info,5000
Jet Airways,2019-03-15,Banglore,Delhi,07:00:00,12:15:00,315,1,No Info,17524
Jet Airways,2019-04-01,Kolkata,Banglore,08:25:00,09:20:00,1495,1,In-flight meal not included,7064
Spicejet,2019-05-15,Kolkata,Banglore,15:55:00,21:25:00,330,1,No Info,7804
Multiple Carriers,2019-05-24,Delhi,Cochin,14:55:00,22:30:00,455,1,No Info,7740
Jet Airways,2019-05-15,Kolkata,Banglore,21:10:00,20:45:00,1415,1,In-flight meal not included,10844
Air India,2019-04-09,Delhi,Cochin,05:55:00,19:15:00,2240,2,No Info,7711
