airline,date_of_journey,source,destination,dep_time,arrival_time,duration,total_stops,additional_info,price
Jet Airways,2019-05-06,Mumbai,Hyderabad,10:20:00,11:50:00,90,0,In-flight meal not included,4995
Vistara,2019-03-06,Mumbai,Hyderabad,21:55:00,22:55:00,1500,1,No Info,12395
Multiple Carriers,2019-05-15,Delhi,Cochin,08:00:00,21:00:00,780,1,No Info,13937
Indigo,2019-06-01,Kolkata,Banglore,04:40:00,07:15:00,155,0,No Info,4804
Air India,2019-05-01,Mumbai,Hyderabad,21:05:00,22:25:00,80,0,No Info,3625
Indigo,2019-03-27,Delhi,Cochin,16:00:00,21:00:00,300,1,No Info,5073
Indigo,2019-06-21,Banglore,Delhi,16:55:00,19:55:00,180,0,No Info,4990
Multiple Carriers,2019-03-27,Delhi,Cochin,14:35:00,22:20:00,465,1,In-flight meal not included,5883
Indigo,2019-06-27,Delhi,Cochin,18:35:00,01:30:00,415,1,No Info,5883
Jet Airways,2019-05-27,Banglore,Delhi,11:10:00,14:05:00,175,0,In-flight meal not included,4030
Air India,2019-03-12,Mumbai,Hyderabad,05:30:00,14:50:00,560,2,No Info,11342
Spicejet,2019-05-15,Banglore,Delhi,21:10:00,00:05:00,175,0,No check-in baggage included,3573
Air India,2019-05-18,Kolkata,Banglore,17:30:00,20:25:00,1615,1,No Info,10623
Air India,2019-03-06,Banglore,Delhi,08:50:00,16:30:00,1900,2,No Info,14143
Multiple Carriers,2019-03-06,Delhi,Cochin,13:00:00,21:00:00,480,1,No Info,15603
Spicejet,2019-04-27,Kolkata,Banglore,22:20:00,00:40:00,140,0,No Info,3873
Vistara,2019-03-24,Kolkata,Banglore,20:20:00,09:10:00,770,1,No Info,12312
Air India,2019-05-09,Delhi,Cochin,14:25:00,19:15:00,1730,2,No Info,13591
Air Asia,2019-05-06,Kolkata,Banglore,07:35:00,23:30:00,955,1,No Info,5192
Jet Airways,2019-05-06,Kolkata,Banglore,09:35:00,09:45:00,1450,1,No Info,10953
Indigo,2019-04-03,Banglore,Delhi,18:25:00,21:20:00,175,0,No Info,4823
Multiple Carriers,2019-06-27,Delhi,Cochin,19:00:00,01:30:00,390,1,No Info,6795
Spicejet,2019-03-21,Mumbai,Hyderabad,05:45:00,07:05:00,80,0,No Info,3173
Jet Airways,2019-06-03,Delhi,Cochin,16:00:00,19:00:00,1620,1,In-flight meal not included,10262
Spicejet,2019-06-01,Mumbai,Hyderabad,22:45:00,00:15:00,90,0,No check-in baggage included,1965
Indigo,2019-06-12,Kolkata,Banglore,07:10:00,12:40:00,330,1,No Info,4864
Indigo,2019-06-03,Chennai,Kolkata,22:05:00,00:25:00,140,0,No Info,5277
Jet Airways,2019-03-12,Banglore,Delhi,20:35:00,09:30:00,775,1,In-flight meal not included,11087
Jet Airways,2019-06-09,Kolkata,Banglore,09:35:00,18:00:00,505,1,In-flight meal not included,13994
Indigo,2019-06-15,Delhi,Cochin,16:00:00,01:30:00,570,1,No Info,6316
Jet Airways,2019-05-18,Banglore,Delhi,15:15:00,18:10:00,175,0,No Info,7229
Spicejet,2019-05-12,Mumbai,Hyderabad,05:45:00,07:15:00,90,0,No Info,2017
Jet Airways,2019-03-01,Banglore,Delhi,08:00:00,18:25:00,625,1,No Info,26890
Indigo,2019-03-01,Mumbai,Hyderabad,12:00:00,13:25:00,85,0,No Info,12475
Air India,2019-06-24,Delhi,Cochin,22:00:00,19:15:00,1275,2,No Info,9181
Jet Airways,2019-03-15,Mumbai,Hyderabad,02:55:00,04:25:00,90,0,In-flight meal not included,2071
Air India,2019-06-01,Delhi,Cochin,05:15:00,19:15:00,2280,3,No Info,10703
Jet Airways,2019-04-01,Banglore,Delhi,06:00:00,08:45:00,165,0,No Info,7229
Air India,2019-03-06,Delhi,Cochin,19:45:00,19:15:00,1410,2,No Info,12646
Jet Airways,2019-06-27,Mumbai,Hyderabad,10:20:00,11:50:00,90,0,In-flight meal not included,4995
Air India,2019-03-09,Delhi,Cochin,18:30:00,19:15:00,1485,2,No Info,18211
Multiple Carriers,2019-03-21,Delhi,Cochin,11:30:00,01:35:00,845,1,No Info,13542
Jet Airways,2019-06-06,Delhi,Cochin,18:15:00,04:25:00,610,1,In-flight meal not included,10262
Jet Airways,2019-03-24,Kolkata,Banglore,08:25:00,12:00:00,1655,1,No Info,13759
Jet Airways,2019-06-12,Banglore,Delhi,17:45:00,20:45:00,180,0,No Info,8016
Spicejet,2019-04-09,Kolkata,Banglore,17:10:00,19:40:00,150,0,No Info,3873
Air India,2019-03-15,Banglore,Delhi,05:50:00,12:05:00,1815,2,No Info,7664
Air Asia,2019-05-15,Kolkata,Banglore,22:50:00,01:20:00,150,0,No Info,4107
Indigo,2019-05-15,Kolkata,Banglore,17:15:00,19:50:00,155,0,No Info,4804
Spicejet,2019-05-03,Chennai,Kolkata,08:20:00,10:35:00,135,0,No check-in baggage included,3543
Spicejet,2019-06-06,Banglore,Delhi,05:55:00,08:35:00,160,0,No check-in baggage included,3573
Air India,2019-04-01,Kolkata,Banglore,09:50:00,21:05:00,675,1,No Info,8030
Spicejet,2019-04-27,Banglore,Delhi,09:30:00,12:20:00,170,0,No Info,4991
Air Asia,2019-04-12,Kolkata,Banglore,19:55:00,22:25:00,150,0,No Info,4409
Spicejet,2019-04-06,Banglore,Delhi,09:30:00,12:20:00,170,0,No Info,4423
Jet Airways,2019-03-27,Delhi,Cochin,07:05:00,04:25:00,1280,1,In-flight meal not included,6645
Indigo,2019-06-09,Mumbai,Hyderabad,06:25:00,07:55:00,90,0,No Info,4049
Spicejet,2019-04-12,Banglore,Delhi,05:55:00,08:35:00,160,0,No check-in baggage included,4319
Air India,2019-05-01,Kolkata,Banglore,09:50:00,23:15:00,805,2,No Info,13227
Air Asia,2019-03-24,Kolkata,Banglore,10:20:00,12:55:00,155,0,No Info,5620
Jet Airways,2019-03-27,Delhi,Cochin,19:10:00,19:45:00,1475,2,No Info,9483
Spicejet,2019-04-01,Kolkata,Banglore,17:10:00,19:40:00,150,0,No check-in baggage included,3841
Air India,2019-03-12,Mumbai,Hyderabad,19:40:00,09:10:00,810,2,No Info,11647
Multiple Carriers,2019-05-18,Delhi,Cochin,08:00:00,21:00:00,780,1,No Info,13727
Multiple Carriers,2019-06-01,Delhi,Cochin,11:25:00,19:00:00,455,1,No Info,11200
Jet Airways,2019-03-01,Banglore,Delhi,11:40:00,11:25:00,1425,1,No Info,25735
Indigo,2019-04-24,Kolkata,Banglore,19:20:00,23:45:00,265,1,No Info,3480
Jet Airways,2019-05-12,Kolkata,Banglore,16:30:00,23:35:00,425,1,In-flight meal not included,10844
Indigo,2019-06-03,Kolkata,Banglore,09:35:00,12:10:00,155,0,No Info,4804
Jet Airways,2019-05-18,Kolkata,Banglore,09:35:00,10:55:00,1520,1,No Info,14151
Jet Airways,2019-06-27,Delhi,Cochin,09:00:00,12:35:00,1655,1,In-flight meal not included,10262
Jet Airways,2019-04-21,Banglore,Delhi,07:10:00,10:10:00,180,0,In-flight meal not included,6144
Jet Airways,2019-03-01,Banglore,Delhi,14:05:00,10:25:00,1220,1,No Info,20800
Jet Airways,2019-06-06,Delhi,Cochin,05:30:00,04:25:00,1375,2,In-flight meal not included,10368
Jet Airways,2019-04-06,Delhi,Cochin,11:30:00,12:35:00,1505,1,In-flight meal not included,5177
Jet Airways,2019-03-06,Delhi,Cochin,13:55:00,04:25:00,870,1,No Info,15764
Indigo,2019-06-27,Kolkata,Banglore,22:15:00,00:50:00,155,0,No Info,4804
Jet Airways,2019-05-09,Banglore,Delhi,17:45:00,20:45:00,180,0,In-flight meal not included,5198
Indigo,2019-05-09,Delhi,Cochin,18:35:00,01:30:00,415,1,No Info,8542
Jet Airways,2019-06-09,Kolkata,Banglore,18:55:00,08:15:00,800,1,In-flight meal not included,11841
Indigo,2019-03-18,Kolkata,Banglore,05:30:00,08:20:00,170,0,No Info,4462
Indigo,2019-04-21,Banglore,Delhi,06:05:00,08:50:00,165,0,No Info,4423
Multiple Carriers,2019-05-21,Delhi,Cochin,08:00:00,19:00:00,660,1,No Info,10197
Air India,2019-04-09,Delhi,Cochin,05:55:00,07:40:00,1545,2,No Info,10021
Jet Airways,2019-05-27,Delhi,Cochin,19:10:00,19:00:00,1430,2,No Info,15129
Air India,2019-03-06,Delhi,Cochin,08:00:00,19:15:00,675,1,No Info,15284
Jet Airways,2019-05-12,Kolkata,Banglore,21:10:00,09:20:00,730,1,No Info,14388
Multiple Carriers,2019-06-15,Delhi,Cochin,18:00:00,01:30:00,450,1,No Info,7408
Multiple Carriers,2019-03-27,Delhi,Cochin,02:15:00,15:30:00,795,1,No Info,12327
Jet Airways,2019-05-21,Kolkata,Banglore,09:35:00,19:10:00,575,1,In-flight meal not included,12384
Indigo,2019-03-03,Kolkata,Banglore,14:20:00,16:55:00,155,0,No Info,6565
Air India,2019-05-27,Delhi,Cochin,10:55:00,19:15:00,500,2,No Info,13223
Jet Airways,2019-05-06,Kolkata,Banglore,21:10:00,08:15:00,665,1,In-flight meal not included,7757
Air India,2019-03-21,Delhi,Cochin,05:15:00,19:15:00,2280,3,No Info,9128
Jet Airways,2019-03-01,Banglore,Delhi,07:00:00,12:25:00,325,1,No Info,26890
Indigo,2019-03-21,Mumbai,Hyderabad,16:55:00,18:25:00,90,0,No Info,3175
Indigo,2019-04-01,Kolkata,Banglore,19:35:00,23:15:00,220,1,No Info,4226
Jet Airways,2019-06-12,Delhi,Cochin,20:55:00,19:00:00,1325,1,In-flight meal not included,10262
Multiple Carriers,2019-03-27,Delhi,Cochin,09:10:00,19:15:00,605,1,No Info,10667
Jet Airways,2019-05-21,Banglore,Delhi,15:50:00,18:45:00,175,0,No Info,7229
Indigo,2019-03-03,Kolkata,Banglore,10:10:00,12:55:00,165,0,No Info,6565
Air India,2019-06-15,Delhi,Cochin,12:55:00,19:15:00,1820,2,No Info,12646
Indigo,2019-05-06,Kolkata,Banglore,09:20:00,14:15:00,295,1,No Info,11319
Goair,2019-05-18,Banglore,Delhi,07:45:00,10:40:00,175,0,No Info,4239
Jet Airways,2019-06-03,Delhi,Cochin,18:15:00,12:35:00,1100,1,In-flight meal not included,10262
Air India,2019-05-24,Kolkata,Banglore,12:00:00,21:50:00,590,2,No Info,9941
Goair,2019-06-18,Banglore,Delhi,20:55:00,23:40:00,165,0,No Info,3419
Air Asia,2019-05-21,Kolkata,Banglore,19:55:00,23:30:00,215,1,No Info,5162
Jet Airways,2019-03-27,Delhi,Cochin,13:00:00,04:25:00,925,1,In-flight meal not included,6960
Indigo,2019-04-21,Banglore,Delhi,04:00:00,06:50:00,170,0,No Info,4423
Multiple Carriers,2019-05-09,Delhi,Cochin,04:55:00,19:15:00,860,1,No Info,7575
Jet Airways,2019-03-21,Banglore,Delhi,07:00:00,13:15:00,375,1,In-flight meal not included,7832
Jet Airways,2019-06-21,Mumbai,Hyderabad,19:35:00,21:05:00,90,0,In-flight meal not included,3210
Vistara,2019-05-09,Chennai,Kolkata,07:05:00,09:20:00,135,0,No Info,3687
Indigo,2019-03-27,Delhi,Cochin,07:35:00,12:00:00,265,1,No Info,5073
Jet Airways,2019-06-09,Kolkata,Banglore,21:10:00,12:00:00,890,1,In-flight meal not included,10844
Multiple Carriers,2019-06-15,Delhi,Cochin,11:40:00,19:15:00,455,1,No Info,9526
Air India,2019-03-09,Banglore,Delhi,06:50:00,12:15:00,325,1,No Info,5118
Indigo,2019-06-09,Banglore,Delhi,07:10:00,10:05:00,175,0,No Info,4823
Indigo,2019-06-09,Chennai,Kolkata,22:05:00,00:25:00,140,0,No Info,5277
Air India,2019-06-12,Kolkata,Banglore,09:10:00,04:40:00,1170,2,No Info,6117
Vistara,2019-05-27,Banglore,Delhi,11:30:00,14:20:00,170,0,No Info,4668
Air India,2019-06-06,Delhi,Cochin,13:20:00,19:15:00,1795,2,No Info,12961
Jet Airways,2019-04-01,Kolkata,Banglore,18:55:00,12:00:00,1025,1,In-flight meal not included,7064
Jet Airways,2019-04-24,Banglore,Delhi,19:50:00,22:50:00,180,0,No Info,7229
Jet Airways,2019-06-09,Delhi,Cochin,20:55:00,19:00:00,1325,1,In-flight meal not included,10577
Indigo,2019-06-15,Banglore,Delhi,10:10:00,13:00:00,170,0,No Info,3943
Indigo,2019-05-27,Banglore,Delhi,01:30:00,04:15:00,165,0,No Info,3419
Air Asia,2019-06-09,Delhi,Cochin,16:45:00,22:25:00,340,1,No Info,13470
Jet Airways,2019-06-24,Delhi,Cochin,11:00:00,14:15:00,195,0,In-flight meal not included,4256
Air Asia,2019-06-15,Delhi,Cochin,20:45:00,07:10:00,625,1,No Info,6253
Multiple Carriers,2019-06-12,Delhi,Cochin,07:00:00,19:00:00,720,1,No Info,12192
Indigo,2019-04-09,Banglore,Delhi,18:25:00,21:20:00,175,0,No Info,4823
Jet Airways,2019-06-03,Delhi,Cochin,07:05:00,19:00:00,715,1,No Info,14924
Jet Airways,2019-05-27,Delhi,Cochin,05:30:00,19:00:00,810,2,No Info,15129
Vistara,2019-05-24,Chennai,Kolkata,17:45:00,20:05:00,140,0,No Info,11982
Goair,2019-04-27,Delhi,Cochin,07:25:00,13:35:00,370,1,No Info,5140
Air India,2019-06-01,Delhi,Cochin,19:45:00,19:15:00,1410,2,No Info,10651
Jet Airways,2019-05-27,Delhi,Cochin,17:30:00,04:25:00,655,1,In-flight meal not included,12898
Indigo,2019-05-18,Mumbai,Hyderabad,06:25:00,07:55:00,90,0,No Info,4392
Indigo,2019-03-15,Kolkata,Banglore,22:10:00,00:55:00,165,0,No Info,4148
Air India,2019-06-15,Delhi,Cochin,09:45:00,23:00:00,795,1,No Info,8907
Multiple Carriers,2019-06-24,Delhi,Cochin,10:20:00,19:00:00,520,1,In-flight meal not included,10791
Jet Airways,2019-03-03,Delhi,Cochin,02:15:00,04:25:00,1570,1,No Info,17024
Jet Airways,2019-06-06,Kolkata,Banglore,10:20:00,17:35:00,435,1,In-flight meal not included,9689
Indigo,2019-05-01,Banglore,Delhi,06:05:00,08:50:00,165,0,No Info,4423
Vistara,2019-06-12,Banglore,Delhi,17:00:00,19:35:00,155,0,No Info,4878
Jet Airways,2019-05-06,Kolkata,Banglore,21:10:00,10:05:00,775,1,In-flight meal not included,7757
Vistara,2019-06-09,Kolkata,Banglore,17:00:00,10:45:00,1065,1,No Info,9922
Indigo,2019-05-27,Banglore,Delhi,18:25:00,21:20:00,175,0,No Info,4823
Multiple Carriers,2019-03-27,Delhi,Cochin,07:30:00,19:15:00,705,1,No Info,9100
Multiple Carriers,2019-05-18,Delhi,Cochin,06:00:00,21:00:00,900,1,No Info,7670
Air India,2019-03-21,Banglore,Delhi,08:15:00,11:20:00,1625,2,No Info,7642
Multiple Carriers,2019-05-15,Delhi,Cochin,19:00:00,01:30:00,390,1,No Info,7670
Goair,2019-06-15,Delhi,Cochin,07:00:00,12:55:00,355,1,No Info,5281
Multiple Carriers,2019-05-09,Delhi,Cochin,17:30:00,01:30:00,480,1,No Info,15078
Indigo,2019-03-01,Kolkata,Banglore,22:10:00,00:55:00,165,0,No Info,4778
Jet Airways,2019-06-18,Mumbai,Hyderabad,10:20:00,11:50:00,90,0,No Info,8040
Indigo,2019-05-27,Delhi,Cochin,04:55:00,21:00:00,965,1,No Info,8784
Air India,2019-03-12,Mumbai,Hyderabad,05:55:00,19:10:00,795,1,No Info,8528
Jet Airways,2019-06-06,Kolkata,Banglore,08:25:00,20:45:00,740,1,No Info,14571
Jet Airways,2019-03-12,Mumbai,Hyderabad,19:40:00,21:10:00,90,0,No Info,5678
Spicejet,2019-05-27,Kolkata,Banglore,06:55:00,09:30:00,155,0,No check-in baggage included,3841
Air India,2019-05-27,Mumbai,Hyderabad,19:30:00,20:45:00,75,0,No Info,3100
Vistara,2019-03-01,Banglore,Delhi,06:40:00,10:25:00,1665,1,No Info,12371
Jet Airways,2019-05-21,Kolkata,Banglore,17:00:00,21:05:00,1685,1,No Info,14151
Spicejet,2019-05-01,Chennai,Kolkata,09:45:00,12:00:00,135,0,No Info,3597
Air India,2019-06-03,Delhi,Cochin,16:40:00,19:15:00,1595,2,No Info,9968
Jet Airways,2019-06-01,Delhi,Cochin,20:00:00,04:25:00,505,2,No Info,16263
Jet Airways,2019-06-12,Delhi,Cochin,19:30:00,04:25:00,535,2,In-flight meal not included,10368
Spicejet,2019-04-24,Kolkata,Banglore,06:55:00,09:30:00,155,0,No Info,3873
Indigo,2019-03-21,Delhi,Cochin,06:40:00,21:00:00,860,1,No Info,8784
Air India,2019-05-21,Delhi,Cochin,13:00:00,19:15:00,375,1,No Info,8372
Jet Airways,2019-03-24,Kolkata,Banglore,08:25:00,12:00:00,1655,1,In-flight meal not included,10031
Jet Airways,2019-06-06,Delhi,Cochin,07:05:00,12:35:00,330,1,In-flight meal not included,10262
Air Asia,2019-05-01,Kolkata,Banglore,06:50:00,10:30:00,220,1,No Info,6857
Air India,2019-03-06,Banglore,Delhi,11:50:00,19:50:00,480,1,No Info,14594
Jet Airways,2019-05-18,Mumbai,Hyderabad,10:20:00,11:50:00,90,0,In-flight meal not included,4050
Indigo,2019-06-27,Delhi,Cochin,10:35:00,21:00:00,625,1,No Info,5894
Air Asia,2019-03-03,Banglore,Delhi,05:50:00,08:40:00,170,0,No Info,7074
Multiple Carriers,2019-04-27,Delhi,Cochin,07:10:00,16:10:00,540,1,In-flight meal not included,6093
Indigo,2019-06-06,Banglore,Delhi,18:55:00,21:50:00,175,0,No Info,4990
Multiple Carriers,2019-05-09,Delhi,Cochin,11:30:00,19:15:00,465,1,No Info,14323
Vistara,2019-06-12,Kolkata,Banglore,17:00:00,10:45:00,1065,1,No Info,8452
Jet Airways,2019-03-12,Banglore,Delhi,16:55:00,07:40:00,885,1,No Info,13817
Air India,2019-05-27,Delhi,Cochin,07:00:00,19:15:00,735,1,No Info,9929
Jet Airways,2019-06-09,Delhi,Cochin,05:30:00,12:35:00,425,2,No Info,14441
Jet Airways,2019-05-06,Kolkata,Banglore,06:30:00,09:20:00,1610,1,In-flight meal not included,9663
Indigo,2019-06-09,Mumbai,Hyderabad,02:35:00,04:05:00,90,0,No Info,2754
Indigo,2019-03-03,Mumbai,Hyderabad,12:00:00,13:25:00,85,0,No Info,5755
Indigo,2019-06-21,Banglore,Delhi,06:05:00,08:50:00,165,0,No Info,3943
Jet Airways,2019-05-27,Delhi,Cochin,09:35:00,12:35:00,1620,2,No Info,14657
Air India,2019-03-09,Delhi,Cochin,22:00:00,19:15:00,1275,2,No Info,16373
Air India,2019-05-12,Mumbai,Hyderabad,19:30:00,20:45:00,75,0,No Info,3625
Indigo,2019-04-18,Banglore,Delhi,13:00:00,15:50:00,170,0,No Info,4990
Multiple Carriers,2019-05-09,Delhi,Cochin,17:00:00,01:30:00,510,1,No Info,9424
Air India,2019-05-03,Banglore,Delhi,10:00:00,12:45:00,165,0,No Info,6121
Air India,2019-03-09,Delhi,Cochin,05:15:00,19:15:00,2280,3,No Info,15586
Jet Airways,2019-03-09,Delhi,Cochin,00:20:00,04:25:00,1685,1,In-flight meal not included,11848
Multiple Carriers,2019-05-15,Delhi,Cochin,11:35:00,21:00:00,565,3,No Info,16294
Jet Airways,2019-06-01,Delhi,Cochin,11:00:00,14:15:00,195,0,In-flight meal not included,7202
Air India,2019-03-18,Banglore,Delhi,06:45:00,16:30:00,2025,2,No Info,10835
Indigo,2019-06-01,Banglore,Delhi,16:55:00,19:45:00,170,0,No Info,4823
Air India,2019-03-09,Banglore,Delhi,22:00:00,11:05:00,785,1,No Info,8425
Multiple Carriers,2019-05-18,Delhi,Cochin,03:50:00,19:00:00,910,1,No Info,10197
Multiple Carriers,2019-03-03,Delhi,Cochin,11:35:00,21:00:00,565,3,No Info,21829
Jet Airways,2019-05-09,Delhi,Cochin,17:30:00,19:00:00,1530,1,In-flight meal not included,12373
Jet Airways,2019-05-09,Banglore,Delhi,06:00:00,08:45:00,165,0,In-flight meal not included,4030
Jet Airways,2019-06-21,Banglore,Delhi,15:15:00,18:10:00,175,0,In-flight meal not included,7229
Vistara,2019-06-24,Banglore,Delhi,17:00:00,19:35:00,155,0,No Info,4878
Indigo,2019-06-15,Delhi,Cochin,07:35:00,22:30:00,895,1,No Info,6442
Jet Airways,2019-03-01,Banglore,Delhi,05:45:00,15:15:00,570,1,No Info,26890
Jet Airways,2019-06-12,Delhi,Cochin,11:45:00,12:35:00,1490,2,No Info,13882
Jet Airways,2019-04-24,Banglore,Delhi,15:15:00,18:10:00,175,0,No Info,7229
