airline,date_of_journey,source,destination,dep_time,arrival_time,duration,total_stops,additional_info,price
Air India,2019-03-21,Banglore,Delhi,11:50:00,08:55:00,1265,1,No Info,5092
Jet Airways,2019-06-03,Delhi,Cochin,16:00:00,19:00:00,1620,1,No Info,14714
Jet Airways,2019-06-15,Delhi,Cochin,13:00:00,19:00:00,360,1,No Info,14714
Multiple Carriers,2019-03-06,Delhi,Cochin,07:30:00,18:50:00,680,1,No Info,15135
Jet Airways,2019-04-09,Delhi,Cochin,07:05:00,19:00:00,715,1,No Info,17531
Multiple Carriers,2019-04-09,Delhi,Cochin,10:35:00,19:15:00,520,1,No Info,6106
Spicejet,2019-05-27,Kolkata,Banglore,17:10:00,19:40:00,150,0,No check-in baggage included,3841
Jet Airways,2019-03-18,Banglore,Delhi,22:50:00,10:25:00,695,1,In-flight meal not included,11087
Multiple Carriers,2019-03-03,Delhi,Cochin,08:25:00,18:50:00,625,1,No Info,15135
Jet Airways,2019-05-06,Kolkata,Banglore,16:30:00,04:40:00,730,1,In-flight meal not included,8586
Jet Airways,2019-06-18,Mumbai,Hyderabad,08:45:00,10:15:00,90,0,No Info,8040
Spicejet,2019-03-27,Delhi,Cochin,15:55:00,21:55:00,360,1,No Info,5111
Air India,2019-04-27,Banglore,Delhi,21:05:00,23:55:00,170,0,No Info,5228
Jet Airways,2019-05-12,Kolkata,Banglore,10:20:00,17:35:00,435,1,No Info,9358
Jet Airways,2019-05-12,Kolkata,Banglore,17:00:00,21:05:00,1685,1,In-flight meal not included,10703
Spicejet,2019-05-03,Kolkata,Banglore,06:55:00,09:30:00,155,0,No check-in baggage included,3841
Jet Airways,2019-05-21,Delhi,Cochin,19:30:00,12:35:00,1025,2,In-flight meal not included,13029
Vistara,2019-03-03,Banglore,Delhi,09:50:00,12:35:00,165,0,No Info,8028
Jet Airways,2019-06-15,Delhi,Cochin,10:00:00,19:00:00,540,1,In-flight meal not included,10262
Air India,2019-03-18,Banglore,Delhi,17:00:00,19:45:00,165,0,No Info,11633
Indigo,2019-06-06,Delhi,Cochin,16:10:00,22:30:00,380,1,No Info,6938
Indigo,2019-06-01,Delhi,Cochin,07:35:00,22:30:00,895,1,No Info,6442
Air Asia,2019-06-15,Delhi,Cochin,07:55:00,13:25:00,330,1,No Info,6253
Jet Airways,2019-04-06,Banglore,Delhi,18:55:00,22:00:00,185,0,In-flight meal not included,4544
Spicejet,2019-06-09,Chennai,Kolkata,09:45:00,12:00:00,135,0,No check-in baggage included,3543
Spicejet,2019-03-21,Banglore,Delhi,09:35:00,12:30:00,175,0,No check-in baggage included,4839
Air India,2019-03-21,Delhi,Cochin,13:20:00,19:15:00,1795,2,No Info,8708
Multiple Carriers,2019-05-21,Delhi,Cochin,12:50:00,01:30:00,760,1,No Info,7485
Air India,2019-06-18,Banglore,Delhi,21:05:00,23:55:00,170,0,No Info,5228
Air Asia,2019-05-21,Banglore,Delhi,11:10:00,13:55:00,165,0,No Info,3383
Air India,2019-05-12,Kolkata,Banglore,20:30:00,08:55:00,745,1,No Info,10203
Spicejet,2019-06-03,Chennai,Kolkata,09:45:00,12:00:00,135,0,No check-in baggage included,3859
Spicejet,2019-03-24,Banglore,Delhi,05:45:00,08:35:00,170,0,No check-in baggage included,4273
Jet Airways,2019-06-03,Delhi,Cochin,05:30:00,19:00:00,810,2,No Info,13014
Multiple Carriers,2019-03-21,Delhi,Cochin,15:00:00,01:35:00,635,1,No Info,13542
Jet Airways,2019-03-12,Banglore,Delhi,22:55:00,10:45:00,710,1,No Info,13817
Air India,2019-06-24,Mumbai,Hyderabad,21:05:00,22:25:00,80,0,No Info,3100
Indigo,2019-03-15,Banglore,Delhi,23:30:00,02:20:00,170,0,No Info,8033
Multiple Carriers,2019-06-12,Delhi,Cochin,17:45:00,01:30:00,465,1,No Info,6795
Jet Airways,2019-03-06,Banglore,Delhi,16:55:00,05:05:00,730,1,No Info,16736
Jet Airways,2019-06-27,Delhi,Cochin,09:00:00,19:00:00,600,1,No Info,14714
Jet Airways,2019-03-06,Banglore,Delhi,14:05:00,00:45:00,640,1,In-flight meal not included,13502
Jet Airways,2019-05-09,Banglore,Delhi,07:10:00,10:10:00,180,0,No Info,7229
Jet Airways,2019-04-01,Kolkata,Banglore,20:25:00,15:05:00,1120,1,No Info,11467
Jet Airways,2019-05-18,Kolkata,Banglore,05:45:00,08:15:00,1590,1,No Info,13941
Jet Airways,2019-06-15,Delhi,Cochin,13:00:00,04:25:00,925,1,In-flight meal not included,10262
Jet Airways,2019-06-27,Delhi,Cochin,13:25:00,12:35:00,1390,2,No Info,15339
Air India,2019-06-12,Delhi,Cochin,17:15:00,09:25:00,970,2,No Info,9417
Air India,2019-03-18,Mumbai,Hyderabad,19:30:00,20:45:00,75,0,No Info,2050
Indigo,2019-05-21,Mumbai,Hyderabad,09:10:00,10:40:00,90,0,No Info,4049
Jet Airways,2019-03-18,Mumbai,Hyderabad,15:50:00,17:20:00,90,0,In-flight meal not included,2228
Jet Airways,2019-03-24,Kolkata,Banglore,16:55:00,16:20:00,1405,1,No Info,14231
Indigo,2019-06-27,Banglore,Delhi,16:55:00,19:55:00,180,0,No Info,4823
Multiple Carriers,2019-03-21,Delhi,Cochin,12:50:00,01:35:00,765,1,No Info,7695
Indigo,2019-06-09,Kolkata,Banglore,22:15:00,00:50:00,155,0,No Info,5224
Jet Airways,2019-04-01,Kolkata,Banglore,08:25:00,20:45:00,740,1,In-flight meal not included,7064
Multiple Carriers,2019-06-01,Delhi,Cochin,09:00:00,21:00:00,720,1,No Info,7933
Jet Airways,2019-03-15,Mumbai,Hyderabad,10:20:00,11:50:00,90,0,In-flight meal not included,4160
Jet Airways,2019-06-09,Kolkata,Banglore,17:00:00,14:25:00,1285,1,No Info,14151
Jet Airways,2019-06-06,Kolkata,Banglore,18:55:00,19:50:00,1495,1,In-flight meal not included,10844
Air India,2019-05-27,Mumbai,Hyderabad,13:55:00,15:25:00,90,0,No Info,3625
Jet Airways,2019-06-01,Delhi,Cochin,09:40:00,04:25:00,1125,2,No Info,13014
Indigo,2019-03-27,Delhi,Cochin,07:30:00,13:20:00,350,1,No Info,8227
Spicejet,2019-05-03,Kolkata,Banglore,09:00:00,11:25:00,145,0,No check-in baggage included,3841
Indigo,2019-03-27,Kolkata,Banglore,15:10:00,17:45:00,155,0,No Info,4148
Indigo,2019-05-15,Delhi,Cochin,05:05:00,12:10:00,425,1,No Info,6818
Air India,2019-06-09,Banglore,Delhi,17:00:00,19:45:00,165,0,No Info,7171
Jet Airways,2019-05-12,Banglore,Delhi,08:20:00,11:20:00,180,0,In-flight meal not included,6144
Indigo,2019-03-27,Delhi,Cochin,08:25:00,21:00:00,755,1,No Info,8285
Indigo,2019-05-09,Delhi,Cochin,15:10:00,20:00:00,290,1,No Info,6147
Air India,2019-06-09,Delhi,Cochin,14:25:00,19:15:00,1730,2,No Info,13381
Indigo,2019-05-01,Mumbai,Hyderabad,19:05:00,20:35:00,90,0,No Info,2754
Jet Airways,2019-03-27,Delhi,Cochin,19:15:00,19:45:00,1470,1,No Info,12032
Jet Airways,2019-06-03,Delhi,Cochin,20:55:00,19:00:00,1325,1,In-flight meal not included,10262
Indigo,2019-04-24,Kolkata,Banglore,11:30:00,14:05:00,155,0,No Info,4804
Spicejet,2019-05-09,Kolkata,Banglore,06:55:00,09:30:00,155,0,No check-in baggage included,3841
Indigo,2019-05-21,Kolkata,Banglore,17:35:00,22:15:00,280,1,No Info,5386
Jet Airways,2019-06-12,Banglore,Delhi,18:55:00,22:00:00,185,0,No Info,8016
Air Asia,2019-06-24,Kolkata,Banglore,19:55:00,22:25:00,150,0,No Info,3807
Jet Airways,2019-03-21,Delhi,Cochin,16:10:00,18:50:00,1600,2,In-flight meal not included,8728
Air India,2019-06-27,Delhi,Cochin,17:20:00,09:25:00,965,1,No Info,7480
Jet Airways,2019-06-24,Delhi,Cochin,17:30:00,19:00:00,1530,1,In-flight meal not included,10262
Indigo,2019-03-03,Banglore,Delhi,04:00:00,06:50:00,170,0,No Info,6144
Indigo,2019-04-15,Banglore,Delhi,23:30:00,02:20:00,170,0,No Info,4591
Jet Airways,2019-06-09,Delhi,Cochin,09:35:00,04:25:00,1130,2,No Info,13292
Spicejet,2019-06-01,Banglore,Delhi,09:30:00,12:20:00,170,0,No Info,3971
Goair,2019-05-06,Kolkata,Banglore,23:30:00,07:45:00,495,1,No Info,7451
Jet Airways,2019-04-06,Delhi,Cochin,02:15:00,12:35:00,620,1,In-flight meal not included,5177
Spicejet,2019-03-21,Chennai,Kolkata,17:45:00,20:05:00,140,0,No check-in baggage included,3332
Air India,2019-04-03,Banglore,Delhi,10:00:00,12:45:00,165,0,No Info,5176
Air Asia,2019-04-24,Kolkata,Banglore,10:20:00,12:55:00,155,0,No Info,4409
Indigo,2019-06-12,Delhi,Cochin,02:00:00,07:45:00,345,1,No Info,6386
Goair,2019-03-09,Banglore,Delhi,11:40:00,14:35:00,175,0,No Info,7305
Spicejet,2019-05-27,Kolkata,Banglore,06:55:00,09:30:00,155,0,No Info,3873
Air India,2019-05-12,Kolkata,Banglore,05:50:00,08:55:00,1625,2,No Info,11411
Multiple Carriers,2019-06-24,Delhi,Cochin,08:00:00,21:00:00,780,1,No Info,13797
Indigo,2019-04-21,Delhi,Cochin,02:00:00,07:25:00,325,1,No Info,5636
Air India,2019-05-06,Kolkata,Banglore,09:10:00,04:40:00,1170,2,No Info,6117
Jet Airways,2019-03-06,Banglore,Delhi,08:00:00,08:15:00,1455,1,No Info,17996
Air India,2019-04-18,Banglore,Delhi,17:00:00,19:45:00,165,0,No Info,6121
Jet Airways,2019-03-09,Delhi,Cochin,20:10:00,04:25:00,495,2,No Info,20904
Indigo,2019-05-18,Delhi,Cochin,05:05:00,16:10:00,665,1,No Info,6818
Air Asia,2019-04-27,Banglore,Delhi,23:55:00,02:45:00,170,0,No Info,3383
Jet Airways,2019-05-21,Delhi,Cochin,13:00:00,04:25:00,925,1,In-flight meal not included,12898
Multiple Carriers,2019-05-15,Delhi,Cochin,09:15:00,19:15:00,600,1,No Info,8099
Jet Airways,2019-05-18,Delhi,Cochin,09:00:00,04:25:00,1165,1,In-flight meal not included,12373
Indigo,2019-04-21,Banglore,Delhi,18:25:00,21:20:00,175,0,No Info,4823
Jet Airways,2019-05-09,Kolkata,Banglore,16:30:00,18:15:00,1545,1,In-flight meal not included,8586
Jet Airways,2019-05-15,Kolkata,Banglore,14:05:00,20:45:00,400,1,No Info,14781
Jet Airways,2019-05-09,Delhi,Cochin,18:15:00,19:00:00,1485,1,In-flight meal not included,12373
Air India,2019-03-15,Banglore,Delhi,08:15:00,21:25:00,790,1,No Info,6046
Air India,2019-03-09,Banglore,Delhi,11:05:00,09:15:00,1330,1,No Info,11077
Spicejet,2019-06-03,Mumbai,Hyderabad,13:15:00,14:45:00,90,0,No Info,2017
Indigo,2019-04-01,Mumbai,Hyderabad,21:20:00,22:50:00,90,0,No Info,2227
Indigo,2019-05-12,Kolkata,Banglore,19:20:00,23:45:00,265,1,No Info,4205
Indigo,2019-06-21,Kolkata,Banglore,22:15:00,00:50:00,155,0,No Info,4804
Air India,2019-05-18,Kolkata,Banglore,09:25:00,21:50:00,745,1,No Info,8366
Indigo,2019-06-15,Banglore,Delhi,10:30:00,13:20:00,170,0,No Info,3943
Indigo,2019-05-12,Banglore,Delhi,00:30:00,03:25:00,175,0,No Info,3943
Air India,2019-06-09,Kolkata,Banglore,16:50:00,13:45:00,1255,2,No Info,11752
Jet Airways,2019-03-24,Mumbai,Hyderabad,15:50:00,17:20:00,90,0,In-flight meal not included,2228
Indigo,2019-05-18,Banglore,Delhi,13:00:00,15:50:00,170,0,No Info,4423
Air India,2019-06-27,Delhi,Cochin,12:30:00,09:25:00,1255,1,No Info,7480
Jet Airways,2019-06-03,Delhi,Cochin,09:00:00,19:00:00,600,1,No Info,14714
Jet Airways,2019-05-12,Kolkata,Banglore,08:25:00,19:50:00,685,1,No Info,13941
Air India,2019-06-12,Kolkata,Banglore,09:25:00,13:45:00,1700,2,No Info,11542
Multiple Carriers,2019-05-09,Delhi,Cochin,09:00:00,21:00:00,720,1,No Info,8073
Indigo,2019-06-27,Banglore,Delhi,23:30:00,02:20:00,170,0,No Info,3943
Jet Airways,2019-06-03,Banglore,Delhi,06:00:00,08:45:00,165,0,In-flight meal not included,5769
Jet Airways,2019-05-24,Kolkata,Banglore,14:05:00,18:15:00,1690,1,In-flight meal not included,10844
Multiple Carriers,2019-06-09,Delhi,Cochin,07:10:00,16:10:00,540,1,No Info,6513
Indigo,2019-05-18,Kolkata,Banglore,22:15:00,00:50:00,155,0,No Info,4804
Air India,2019-06-06,Delhi,Cochin,10:55:00,19:15:00,500,2,No Info,11753
Multiple Carriers,2019-06-01,Delhi,Cochin,09:45:00,22:30:00,765,1,No Info,9646
Multiple Carriers,2019-05-18,Delhi,Cochin,08:00:00,21:00:00,780,1,No Info,8073
Indigo,2019-06-03,Delhi,Cochin,05:35:00,08:50:00,195,0,No Info,5601
Air India,2019-05-27,Delhi,Cochin,18:05:00,21:10:00,185,0,No Info,6094
Vistara,2019-06-12,Banglore,Delhi,09:45:00,12:35:00,170,0,No Info,4668
Jet Airways,2019-06-09,Delhi,Cochin,07:05:00,19:00:00,715,1,In-flight meal not included,10262
Multiple Carriers,2019-06-24,Delhi,Cochin,03:50:00,19:00:00,910,1,No Info,12192
Jet Airways,2019-03-15,Banglore,Delhi,09:45:00,14:25:00,280,1,No Info,8578
Air India,2019-06-03,Delhi,Cochin,20:15:00,19:15:00,1380,2,No Info,13381
Indigo,2019-04-06,Kolkata,Banglore,15:30:00,18:05:00,155,0,No Info,4174
Air India,2019-06-12,Delhi,Cochin,20:30:00,23:00:00,1590,1,No Info,8907
Jet Airways,2019-03-01,Banglore,Delhi,18:40:00,09:30:00,890,1,1 Long layover,31825
Air Asia,2019-03-03,Banglore,Delhi,23:25:00,02:10:00,165,0,No Info,6477
Multiple Carriers,2019-05-27,Delhi,Cochin,07:05:00,22:30:00,925,1,No Info,9856
Air India,2019-05-09,Kolkata,Banglore,08:20:00,11:10:00,1610,2,No Info,11222
Jet Airways,2019-03-24,Kolkata,Banglore,19:45:00,12:00:00,975,1,In-flight meal not included,11134
Multiple Carriers,2019-06-27,Delhi,Cochin,10:00:00,01:30:00,930,1,No Info,13377
Spicejet,2019-05-21,Banglore,Delhi,05:55:00,08:35:00,160,0,No check-in baggage included,3257
Indigo,2019-06-27,Delhi,Cochin,06:50:00,16:10:00,560,1,No Info,6442
Jet Airways,2019-05-01,Kolkata,Banglore,20:25:00,10:55:00,870,1,No Info,12121
Indigo,2019-06-12,Delhi,Cochin,07:35:00,16:10:00,515,1,No Info,6442
Spicejet,2019-03-24,Banglore,Delhi,09:35:00,12:30:00,175,0,No Info,4377
Indigo,2019-05-06,Banglore,Delhi,22:10:00,01:00:00,170,0,No Info,3419
Air India,2019-03-27,Delhi,Cochin,05:10:00,08:00:00,170,0,No Info,4729
Air India,2019-03-03,Delhi,Cochin,21:30:00,19:15:00,1305,2,No Info,12287
Jet Airways,2019-03-06,Delhi,Cochin,13:00:00,04:25:00,925,1,In-flight meal not included,13843
Multiple Carriers,2019-05-15,Delhi,Cochin,11:30:00,19:15:00,465,1,No Info,14323
Vistara,2019-03-03,Banglore,Delhi,21:10:00,00:05:00,175,0,No Info,7608
Indigo,2019-05-15,Delhi,Cochin,21:50:00,03:35:00,345,1,No Info,7189
Air India,2019-06-01,Chennai,Kolkata,11:40:00,13:55:00,135,0,No Info,4667
Jet Airways,2019-06-09,Delhi,Cochin,17:30:00,19:00:00,1530,1,In-flight meal not included,10262
Air India,2019-03-03,Delhi,Cochin,04:00:00,07:40:00,1660,1,No Info,14462
Spicejet,2019-05-21,Delhi,Cochin,08:45:00,13:15:00,270,1,No check-in baggage included,5158
Jet Airways,2019-05-12,Delhi,Cochin,11:00:00,14:15:00,195,0,In-flight meal not included,7202
Air India,2019-06-09,Delhi,Cochin,10:55:00,19:15:00,500,2,No Info,12383
Air India,2019-03-06,Delhi,Cochin,09:00:00,07:40:00,1360,1,No Info,14882
Indigo,2019-06-03,Banglore,Delhi,18:55:00,21:50:00,175,0,No Info,4823
Jet Airways,2019-06-03,Delhi,Cochin,10:00:00,04:25:00,1105,1,In-flight meal not included,11627
Jet Airways,2019-06-21,Banglore,Delhi,11:10:00,14:05:00,175,0,In-flight meal not included,5769
Indigo,2019-03-21,Banglore,Delhi,14:25:00,19:25:00,300,1,No Info,7708
Jet Airways,2019-06-27,Delhi,Cochin,11:40:00,19:00:00,440,2,No Info,18804
Indigo,2019-04-24,Banglore,Delhi,23:30:00,02:20:00,170,0,No Info,3943
Jet Airways,2019-06-09,Delhi,Cochin,21:50:00,04:25:00,395,1,In-flight meal not included,10262
Jet Airways,2019-06-06,Delhi,Cochin,11:45:00,04:25:00,1000,2,In-flight meal not included,11992
Multiple Carriers,2019-03-21,Delhi,Cochin,11:40:00,01:35:00,835,1,No Info,7695
Jet Airways,2019-05-27,Delhi,Cochin,19:45:00,04:25:00,520,1,In-flight meal not included,12898
Jet Airways,2019-06-06,Delhi,Cochin,11:30:00,04:25:00,1015,1,In-flight meal not included,10262
Spicejet,2019-06-21,Kolkata,Banglore,09:00:00,11:25:00,145,0,No Info,3873
Multiple Carriers,2019-03-21,Delhi,Cochin,07:00:00,18:50:00,710,1,No Info,12402
Jet Airways,2019-04-09,Banglore,Delhi,07:10:00,10:10:00,180,0,No Info,7229
Jet Airways,2019-06-09,Kolkata,Banglore,08:25:00,16:20:00,475,1,In-flight meal not included,10844
Jet Airways,2019-06-06,Kolkata,Banglore,17:00:00,09:45:00,1005,1,In-flight meal not included,10539
Indigo,2019-04-01,Kolkata,Banglore,21:00:00,02:15:00,315,1,No Info,5930
Jet Airways,2019-03-03,Mumbai,Hyderabad,02:55:00,04:25:00,90,0,No Info,5678
Indigo,2019-05-21,Kolkata,Banglore,21:25:00,00:05:00,160,0,No Info,4804
Indigo,2019-06-21,Banglore,Delhi,19:30:00,22:15:00,165,0,No Info,5780
Jet Airways,2019-05-09,Delhi,Cochin,21:50:00,04:25:00,395,1,No Info,15554
Air Asia,2019-05-18,Banglore,Delhi,11:10:00,13:55:00,165,0,No Info,4483
Air Asia,2019-03-03,Kolkata,Banglore,19:35:00,22:05:00,150,0,No Info,5964
Jet Airways,2019-05-18,Kolkata,Banglore,16:30:00,23:35:00,425,1,In-flight meal not included,10844
Indigo,2019-03-09,Banglore,Delhi,17:55:00,22:55:00,300,1,No Info,6351
Indigo,2019-05-01,Chennai,Kolkata,05:15:00,07:40:00,145,0,No Info,3850
Jet Airways,2019-06-06,Delhi,Cochin,05:30:00,19:00:00,810,2,In-flight meal not included,10368
Spicejet,2019-05-06,Kolkata,Banglore,09:00:00,11:25:00,145,0,No Info,4174
Jet Airways,2019-05-01,Kolkata,Banglore,17:00:00,09:45:00,1005,1,No Info,11467
Jet Airways,2019-03-18,Banglore,Delhi,14:05:00,19:10:00,305,1,No Info,14815
Jet Airways,2019-05-06,Kolkata,Banglore,20:25:00,09:45:00,800,1,In-flight meal not included,8066
Indigo,2019-04-06,Kolkata,Banglore,17:15:00,19:50:00,155,0,No Info,4174
Multiple Carriers,2019-06-15,Delhi,Cochin,11:25:00,19:15:00,470,1,No Info,8614
Goair,2019-04-27,Banglore,Delhi,20:55:00,23:40:00,165,0,No Info,3898
Air India,2019-03-01,Banglore,Delhi,10:30:00,22:55:00,745,1,No Info,11003
Jet Airways,2019-06-06,Kolkata,Banglore,06:30:00,20:50:00,860,2,In-flight meal not included,10118
Indigo,2019-05-03,Chennai,Kolkata,22:05:00,00:25:00,140,0,No Info,5277
Indigo,2019-04-21,Kolkata,Banglore,22:15:00,00:50:00,155,0,No Info,4804
Jet Airways,2019-04-27,Banglore,Delhi,19:50:00,22:50:00,180,0,No Info,7229
Air Asia,2019-04-27,Banglore,Delhi,11:10:00,13:55:00,165,0,No Info,4483
Vistara,2019-06-09,Banglore,Delhi,11:30:00,14:20:00,170,0,No Info,4668
Air India,2019-03-24,Banglore,Delhi,21:05:00,23:55:00,170,0,No Info,4441
Vistara,2019-05-15,Kolkata,Banglore,17:00:00,23:25:00,385,1,No Info,9345
Jet Airways,2019-03-21,Delhi,Cochin,19:10:00,18:50:00,1420,2,No Info,9483
Jet Airways,2019-05-18,Kolkata,Banglore,21:10:00,10:05:00,775,1,In-flight meal not included,8586
